"Month","Longitude","Latitude","Location","Crime type","City-Town-Village","Population"
"2017-09",-6.339843,54.459494,"James Street","ASBO","COLERAINE","24,694"
"2016-10",-7.311945,54.999835,"St Columbs Road","VISO",NA,NA
"2015-10",-7.255083,55.046929,"Culmore Point","ASBO","LONDONDERRY",NA
"2016-05",-5.706257,54.331905,"Marian Park","CDAR","DOWNPATRICK","11,012"
"2015-06",-5.938153,54.609817,"Vicinage Place","ASBO","BELFAST","335,665"
"2015-05",-5.671459,54.661983,"Primrose Street","VISO","BELFAST","335,665"
"2015-11",-5.945926,54.632816,"Woodburn Drive","CDAR","BELFAST","335,665"
"2017-11",-7.26896,55.052062,"Ardan Road","ASBO","LONDONDERRY",NA
"2015-11",-6.219285,54.714583,"Market Square","OTTH","DUNGANNON","15,987"
"2016-07",-6.357117,54.186101,"Fifth Avenue","BURG","NEWRY","27,234"
"2017-01",-6.106322,54.501343,"Cross Lane","BURG","LISBURN","121,654"
"2017-05",-5.799434,54.718566,"Mckeens Avenue","ASBO","CARRICKFERGUS","28,653"
"2015-03",-7.35903,54.140801,"Wattlebridge Road","CDAR","NEWTOWNBUTLER","973"
"2016-03",-5.955123,54.597993,"O'Neill Street","ASBO","BELFAST","335,665"
"2015-03",-7.342695,55.016219,"Gweebara Park","ASBO","LONDONDERRY",NA
"2015-09",-5.932085,54.578994,"Sandhurst Drive","ASBO","BELFAST","335,665"
"2015-03",-5.902077,54.54348,"Ballylenaghan Park","VISO","BELFAST","335,665"
"2017-11",-6.340907,54.174298,"Corn Market","VISO","NEWRY","27,234"
"2017-08",-6.776621,54.499915,"Manse Road","ASBO","BALLYCARRY","997"
"2017-10",-6.337594,54.176318,"Margaret Street","OTTH","LONDONDERRY",NA
"2015-06",-6.293019,54.461834,"Victor Place","CDAR","CRAIGAVON","17,213"
"2015-12",-5.925779,54.586208,"Dudley Street","ASBO","BELFAST","335,665"
"2016-01",-6.370055,54.467605,"Knockramer Meadows","ROBY","LURGAN","28,568"
"2015-10",-5.935936,54.612331,"Antrim Road","ROBY","TEMPLEPATRICK","1,518"
"2015-11",-5.938796,54.60476,"Sherbrook Close","VISO","BELFAST","335,665"
"2017-01",-6.052099,54.511829,"Ridgeway Street","SHOP","BELFAST","335,665"
"2015-07",-7.31798,54.995944,"Foyle Street","VISO","LONDONDERRY",NA
"2015-09",-5.941939,54.570383,"Danesfort Park South","VISO","BELFAST","335,665"
"2015-07",-6.332204,54.4623,"Market Street","CDAR","BALLYMONEY","11,365"
"2016-05",-6.323087,54.457439,"Hamilton Street","OTTH","BELFAST","335,665"
"2017-12",-5.710589,54.587709,"West Green","ASBO","NEWTOWNARDS","28,654"
"2017-01",-5.955374,54.621691,"Oldpark Road","Drugs","BELFAST","335,665"
"2015-11",-5.650977,54.400966,"Frederick Street","CDAR","KILLYLEAGH","2,501"
"2015-03",-6.270225,54.348805,"Scarva Street","CDAR","LOUGHBRICKLAND","684"
"2016-07",-7.351518,55.014856,"Marianus Park","VISO","LONDONDERRY",NA
"2017-04",-5.961549,54.608452,"Disraeli Street","CDAR","BELFAST","335,665"
"2017-02",-6.271868,54.883824,"Dunclug Gardens","ASBO","BALLYMENA","30,265"
"2017-10",-5.932635,54.591645,"Ventry Street","ASBO","BELFAST","335,665"
"2015-07",-6.01017,54.569387,"Horn Drive","CDAR","BELFAST","335,665"
"2016-04",-6.0269,54.547657,"Broom Park","ASBO","DUNMURRY",NA
"2017-12",-6.222675,54.702,"Greenmount Road","CDAR","COLERAINE","24,694"
"2015-01",-6.323532,54.460149,"Lime Grove","VISO","LURGAN","28,568"
"2016-11",-6.368661,54.35722,"Park Lane","ASBO","GILFORD","1,216"
"2017-02",-5.928221,54.608794,"Earl Close","OTTH","BELFAST","335,665"
"2017-10",-5.931399,54.62335,"Skegoneill Drive","OTTH","BELFAST","335,665"
"2015-01",-6.024177,54.574872,"Suffolk Road","ASBO","BELFAST","335,665"
"2015-05",-6.283542,54.570978,"Feumore Road","OTTH","LISBURN","121,654"
"2016-10",-6.345128,54.45618,"Drumlin Drive","ASBO","LURGAN","28,568"
"2015-09",-6.65249,54.348658,"Jennys Row","ASBO","ARMAGH","175,621"
"2017-09",-6.225419,54.481156,"Main Street","VISO","BALLYMONEY","11,365"
"2016-08",-5.673117,54.648698,"Abbot'S Close","ASBO","BANGOR","62,789"
"2015-03",NA,NA,"No Location","BURG",NA,NA
"2015-11",-6.338279,54.464621,"Rectory Road","Possession of weapons","TOBERMORE","581"
"2017-06",-6.441872,54.084819,"Newry Road","Drugs","BANBRIDGE","14,634"
"2016-03",-7.31798,54.995944,"Foyle Street","ASBO","LONDONDERRY",NA
"2015-01",-7.297527,54.61245,"Lisanelly Heights","VISO","OMAGH","21,325"
"2016-06",-7.318823,54.996883,"Foyle Street","VISO","LONDONDERRY",NA
"2016-06",-6.667463,55.129059,"Chapel Square","ASBO","COLERAINE","24,694"
"2017-04",-6.028937,54.551553,"Lagmore Grove","ASBO","DUNMURRY",NA
"2016-10",-5.935351,54.629392,"Mount Carmel","OTTH","KILKEEL","69,258"
"2016-09",-6.024312,54.091892,"Moyad Road","VISO","KILKEEL","69,258"
"2017-05",-5.869153,54.607894,"Holywood Road","Possession of weapons","BELFAST","335,665"
"2015-07",-7.297256,54.629076,"Coronation Cottages","Drugs","OMAGH","21,325"
"2017-07",-5.979075,54.56401,"Upper Lisburn Road","OTTH","BELFAST","335,665"
"2016-10",-7.277917,54.998614,"Durham Park","SHOP","LONDONDERRY",NA
"2017-04",-6.33363,54.4678,"Grattan Street","ASBO","LURGAN","28,568"
"2017-11",-5.94748,54.632402,"Cavehill Road","CDAR","BELFAST","335,665"
"2015-03",-7.627184,54.344019,"Westville Terrace","OTTH","ENNISKILLEN","13,826"
"2015-10",-6.936259,55.045665,"Shanreagh Park","ASBO","LIMAVADY","12,128"
"2017-06",-5.717713,54.328824,"English Street","ASBO","DOWNPATRICK","11,012"
"2016-11",-6.67587,54.846679,"Tamney Crescent","ASBO","MAGHERA","3,712"
"2015-05",-5.93438,54.68608,"Forthill Gardens","ASBO","NEWTOWNABBEY","118,261"
"2017-08",-6.061421,54.509005,"Moira Road","ASBO","GLENAVY","5,798"
"2016-09",-6.339119,54.175351,"The Mall","ASBO","NEWRY","27,234"
"2017-07",-5.933133,54.605023,"Carrick Hill","VISO","BELFAST","335,665"
"2015-01",-6.360781,54.36697,"Pine View Court","OTTH","GILFORD","1,216"
"2015-07",-6.006047,54.569256,"Suffolk Crescent","ASBO","BELFAST","335,665"
"2017-07",-7.458212,54.760275,"Breen Park","ASBO","VICTORIA BRIDGE","318"
"2016-09",-5.95464,54.588182,"Rockview Street","VISO","BELFAST","335,665"
"2017-03",-5.922687,54.59497,"Friendly Street","CDAR","BELFAST","335,665"
"2015-12",-6.19963,54.729116,"Steeple Road","ASBO","KELLS",NA
"2017-10",-6.288902,54.349395,"Brook Grove","VISO","BANBRIDGE","14,634"
"2016-09",-6.004907,54.578977,"Hamill Glen","VISO","BELFAST","335,665"
"2015-09",-5.952891,54.61349,"St. Gemmas Court","OTCR",NA,NA
"2015-12",-6.275819,54.868688,"Thomas Street","VISO","BALLYMENA","30,265"
"2017-04",-6.048732,54.511209,"Bow Street","ASBO","LISBURN","121,654"
"2015-04",-6.278575,54.861774,"Queen Street","VISO","LONDONDERRY",NA
"2016-03",-6.6517,55.202727,"Dunluce Avenue","ASBO","PORTRUSH","6,621"
"2015-02",-6.332714,54.457707,"Ardboe Drive","VISO","LURGAN","28,568"
"2016-01",-5.982673,54.575373,"Andersonstown Road","OTCR","BELFAST","335,665"
"2017-08",-6.332579,54.452683,"Mourne Road","VISO","LURGAN","28,568"
"2015-10",-5.702351,54.595523,"West Street","CDAR","BALLYCARRY","997"
"2017-03",-7.317111,54.983642,"Tamneymore Park","CDAR","LONDONDERRY",NA
"2015-03",-6.259561,54.419101,"William Street","ASBO","DONAGHADEE","6,926"
"2015-05",-5.950682,54.604154,"Conway Street","OTTH","LISBURN","121,654"
"2015-11",-5.656928,54.631412,"Green Road","ASBO","ARTICLAVE","804"
"2016-07",-5.683893,54.590283,"Stangate Avenue","VISO","NEWTOWNARDS","28,654"
"2016-02",-6.326358,54.459677,"Queen Street","VISO","LONDONDERRY",NA
"2016-12",-5.963517,54.688622,"Ballyvesey Court","Drugs","NEWTOWNABBEY","118,261"
"2017-06",-6.943696,55.045433,"Rathbeg Crescent","CDAR","LIMAVADY","12,128"
"2016-03",-5.896449,54.599665,"Lelia Street","CDAR","BELFAST","335,665"
"2015-12",NA,NA,"No Location","Drugs",NA,NA
"2015-03",-6.416105,54.436665,"Kernan Gardens","ASBO","PORTADOWN","22,611"
"2017-05",-5.924925,54.599348,"Upper Church Lane","VISO","PORTADOWN","22,611"
"2015-10",-5.923238,54.585967,"Ormeau Road","VECR","BELFAST","335,665"
"2016-07",-5.941698,54.582518,"Wellington Park","BITH","BELFAST","335,665"
"2015-09",-5.978981,54.625555,"Springvale Park","CDAR","LONDONDERRY",NA
"2017-05",-5.700543,54.64844,"Ravara Gardens","VISO","BANGOR","62,789"
"2015-05",-5.92411,54.658815,"Glenmount Road","VISO","NEWTOWNABBEY","118,261"
"2016-04",-6.682871,55.126289,"Westbourne Crescent","ASBO","COLERAINE","24,694"
"2016-06",-5.938228,54.619962,"Antrim Road","ASBO","TEMPLEPATRICK","1,518"
"2016-12",-5.653103,54.664728,"Ballyholme Road","ASBO","BANGOR","62,789"
"2017-07",-6.656418,55.11717,"Mountsandel Manor","Drugs","COLERAINE","24,694"
"2017-07",-6.329301,54.464641,"Castle Lane","Drugs","COMBER","9,256"
"2017-10",-5.92717,54.65716,"Longlands Avenue","SHOP","NEWTOWNABBEY","118,261"
"2017-10",-5.932635,54.591645,"Ventry Street","ASBO","BELFAST","335,665"
"2017-07",-5.980845,54.591686,"Ballymurphy Road","OTTH","BELFAST","335,665"
"2016-09",-5.93543,54.595116,"Glengall Street","ASBO","BELFAST","335,665"
"2015-05",-7.627482,54.358654,"Drumbawn","ASBO","ENNISKILLEN","13,826"
